song_title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
demons,Imagine Dragons,spotify:track:3LlAyCYU26dvFZBDUIMb7a,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.32899999999999996,0.428,89.93799999999999,0
let her go,Passenger,spotify:track:3f5NR54YGbEi4kVF5ORMt1,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.244,74.89699999999999,1
one more night,Maroon 5,spotify:track:4XNrMwGx1SqP01sqkGTDmo,0.718,0.82,5,-3.4530000000000003,0,0.0323,0.0444,0.0,0.0846,0.613,92.99799999999999,0
burn,Ellie Goulding,spotify:track:2GgxS8bUT5G25QJTsfSv0R,0.5589999999999999,0.777,1,-5.031000000000001,1,0.0432,0.31,0.0,0.105,0.32899999999999996,87.016,0
counting stars,OneRepublic,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,0.664,0.705,1,-4.9719999999999995,0,0.0382,0.0654,0.0,0.115,0.47700000000000004,122.01700000000001,0
give your heart a break,Demi Lovato,spotify:track:3gCDFNnyBoPP5rkBAn8EAR,0.6509999999999999,0.695,6,-3.218,1,0.0487,0.23,0.0,0.14400000000000002,0.569,123.008,0
hello,Adele,spotify:track:4aebBr4JAihzJQR0CiIZJv,0.47,0.431,5,-6.129,0,0.0342,0.32899999999999996,0.0,0.0854,0.289,157.98,1
before he cheats,Carrie Underwood,spotify:track:0ZUo4YjG4saFnEJhdWp9Bt,0.519,0.7490000000000001,6,-3.318,0,0.0405,0.271,0.0,0.11900000000000001,0.29,147.905,0
heathens,Twenty One Pilots,spotify:track:6i0V12jOa3mr6uu4WYhUBr,0.732,0.396,4,-9.347999999999999,0,0.0286,0.0841,3.5799999999999996e-05,0.105,0.5479999999999999,90.024,1
waterfalls,TLC,spotify:track:6qspW4YKycviDFjHBOaqUY,0.769,0.505,1,-7.345,1,0.0829,0.311,7.49e-05,0.0777,0.757,171.804,0
clint eastwood,Gorillaz,spotify:track:4wWfO3quW5mDQZTiYeNnqS,0.662,0.716,10,-7.575,0,0.16,0.027999999999999997,0.0,0.0727,0.5479999999999999,167.947,0
welcome home - ep version,Radical Face,spotify:track:5Z0yHorrDg5GqRpje4SKRy,0.598,0.488,6,-10.905,1,0.0307,0.741,0.779,0.0945,0.396,144.977,2
gossip folks (feat. ludacris),Missy Elliott,spotify:track:75DjPjiIp2fvJDjtt41Jfs,0.7070000000000001,0.5379999999999999,0,-5.263999999999999,1,0.505,0.36200000000000004,0.0,0.317,0.439,121.73200000000001,0
fuck you,CeeLo Green,spotify:track:4ycLiPVzE5KamivXrAzGFG,0.69,0.8340000000000001,0,-5.79,1,0.0566,0.129,0.0,0.136,0.738,127.43,0
music,Madonna,spotify:track:27cXevtj5VflsCUAZwr9eI,0.738,0.852,7,-6.13,1,0.0766,0.0015300000000000001,0.0895,0.17800000000000002,0.8340000000000001,119.735,0
the lion sleeps tonight,Jay Siegel's Tokens,spotify:track:1vndnK1pWEylzsx9PPw3nK,0.366,0.598,5,-8.272,1,0.0425,0.434,0.0,0.124,0.552,135.597,1
down by the water,The Decemberists,spotify:track:7IxWqdG1zG0gaAFYq2q0Iy,0.48700000000000004,0.81,4,-4.067,0,0.0357,0.000754,0.0,0.35200000000000004,0.7020000000000001,123.493,0
who are you,The Who,spotify:track:02DurCgOvDdX0uKEjqcl3W,0.653,0.631,9,-11.334000000000001,1,0.0461,0.299,0.00265,0.0627,0.516,156.32,1
old time rock and roll,Sam Morrison and Turn The Page,spotify:track:6Hyi9dmoyyDmxYEOUxGqBs,0.728,0.9209999999999999,5,-3.302,1,0.0323,0.05,7.92e-06,0.13699999999999998,0.9359999999999999,124.14299999999999,0
hot patootie (bless my soul) what ever happened to saturday night,Adam Lambert,spotify:track:4zwGFFad49bSLJQxGQ4wWH,0.486,0.9179999999999999,11,-4.181,0,0.125,0.0121,0.00372,0.0697,0.7340000000000001,164.03799999999998,0
karma chameleon,Culture Club,spotify:track:48O0GrGJWml3DzHhC5sJ7a,0.6759999999999999,0.5770000000000001,10,-12.030999999999999,1,0.0365,0.18600000000000003,0.0,0.14800000000000002,0.934,91.98,1
